id,nationality,visa_type,consulate,submission_date,decision_date,processing_days,documents_submitted,document_count,sponsor_type,prior_travel,status
case_004031,Nigeria,F-1,Guangzhou,2025-01-21,2025-02-27,37,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,university,False,approved
case_000052,Philippines,H-1B,Frankfurt,2025-01-21,2025-05-24,123,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,False,approved
case_000524,Japan,F-1,Mumbai,2025-01-21,2025-03-01,39,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,True,approved
case_004970,Vietnam,F-1,Shenyang,2025-01-21,2025-02-21,31,"['Financial Docs', 'I-20', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,False,approved
case_001360,India,F-1,Seoul,2025-01-21,2025-02-21,31,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,employer,False,approved
case_001434,China,H-1B,Toronto,2025-01-21,2025-04-25,94,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,employer,False,approved
case_003416,South Korea,B1/B2,Shenyang,2025-01-21,2025-02-05,15,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,self,False,approved
case_000023,Taiwan,H-1B,Tokyo,2025-01-21,2025-06-12,142,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,employer,False,rfe
case_000651,China,O-1,Seoul,2025-01-21,2025-02-25,35,"['I-797', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,family,True,approved
case_004121,Canada,B1/B2,Frankfurt,2025-01-21,2025-02-12,22,"['Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",7,family,False,approved
case_001936,Canada,L-1,Mumbai,2025-01-21,2025-03-19,57,"['I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",6,university,True,approved
case_003116,Taiwan,H-1B,Manila,2025-01-21,2025-06-17,147,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,True,approved
case_000787,Taiwan,H-1B,Seoul,2025-01-22,2025-05-04,102,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,approved
case_002741,Nigeria,H-1B,Mumbai,2025-01-22,2025-04-26,94,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,True,approved
case_001837,Vietnam,H-1B,Guadalajara,2025-01-22,2025-04-13,81,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,university,False,approved
case_003781,Pakistan,H-1B,Toronto,2025-01-22,2025-04-07,75,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,family,True,approved
case_003803,United Kingdom,H-1B,Seoul,2025-01-22,2025-03-26,63,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,family,False,approved
case_002631,China,B1/B2,London,2025-01-22,2025-03-05,42,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,family,False,rfe
case_004427,South Korea,B1/B2,Hyderabad,2025-01-22,2025-02-10,19,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,university,True,approved
case_003105,Vietnam,O-1,Frankfurt,2025-01-22,2025-03-03,40,"['Travel Itinerary', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",7,family,False,approved
case_003158,Japan,F-1,Hyderabad,2025-01-22,2025-02-26,35,"['Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,government,False,approved
case_004666,Mexico,H-1B,Manila,2025-01-22,2025-06-21,150,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,university,True,approved
case_001106,Nigeria,O-1,Shenyang,2025-01-22,2025-04-17,85,"['Travel Itinerary', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,university,False,rfe
case_002462,Taiwan,H-1B,London,2025-01-22,2025-03-21,58,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,university,True,approved
case_001124,Japan,B1/B2,Mumbai,2025-01-22,2025-02-18,27,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,self,False,approved
case_002396,Philippines,H-1B,Shenyang,2025-01-22,2025-08-11,201,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,False,rfe
case_003474,India,B1/B2,Toronto,2025-01-22,2025-01-29,7,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,family,True,approved
case_001154,South Korea,H-1B,Frankfurt,2025-01-23,2025-05-09,106,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,self,False,approved
case_003294,Pakistan,F-1,Seoul,2025-01-23,2025-03-17,53,"['Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,self,False,rfe
case_000163,Germany,B1/B2,Mexico City,2025-01-23,2025-02-22,30,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",7,self,False,approved
case_001337,Philippines,L-1,London,2025-01-23,2025-03-12,48,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,university,False,approved
case_000145,Japan,L-1,Ciudad Juarez,2025-01-23,2025-03-17,53,"['Employment Letter', 'I-797', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,family,False,approved
case_004939,Japan,F-1,Tokyo,2025-01-23,2025-02-26,34,"['Financial Docs', 'I-20', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,approved
case_003180,Philippines,H-1B,Mumbai,2025-01-23,2025-05-28,125,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",9,employer,False,approved
case_000379,Taiwan,H-1B,Hyderabad,2025-01-23,2025-05-30,127,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_002228,Japan,L-1,Kolkata,2025-01-23,2025-04-26,93,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,self,False,approved
case_002046,Taiwan,L-1,Shanghai,2025-01-23,2025-04-10,77,"['Employment Letter', 'I-797', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,self,False,approved
case_000326,Germany,H-1B,Tokyo,2025-01-23,2025-05-20,117,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,university,True,approved
case_000816,Japan,L-1,Hyderabad,2025-01-23,2025-03-15,51,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,university,True,approved
case_001246,India,F-1,Tokyo,2025-01-23,2025-02-24,32,"['Financial Docs', 'I-20', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_001422,Vietnam,L-1,Guadalajara,2025-01-23,2025-04-12,79,"['I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",6,university,False,approved
case_001049,Canada,B1/B2,Tokyo,2025-01-24,2025-03-20,55,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,university,False,rfe
case_003144,Germany,H-1B,London,2025-01-24,2025-05-12,108,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,family,False,approved
case_004043,Mexico,F-1,Mexico City,2025-01-24,2025-03-11,46,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_004221,Bangladesh,F-1,Ciudad Juarez,2025-01-24,2025-03-02,37,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,True,approved
case_001922,Germany,F-1,Toronto,2025-01-24,2025-02-23,30,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,family,False,approved
case_000713,South Korea,H-1B,Kolkata,2025-01-24,2025-05-19,115,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,self,False,approved
case_001658,Canada,O-1,Toronto,2025-01-24,2025-03-12,47,"['I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",5,government,True,approved
case_000551,Pakistan,H-1B,Guadalajara,2025-01-24,2025-04-28,94,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,family,False,approved
case_004537,Taiwan,H-1B,Ciudad Juarez,2025-01-24,2025-07-16,173,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,government,False,rfe
case_001867,Vietnam,H-1B,Hyderabad,2025-01-24,2025-05-13,109,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,government,False,approved
case_001676,Mexico,J-1,Kolkata,2025-01-24,2025-02-21,28,"['Travel Itinerary', 'I-20', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,university,True,approved
case_002600,Pakistan,F-1,Mexico City,2025-01-24,2025-03-13,48,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,approved
case_004661,Nigeria,H-1B,Beijing,2025-01-25,2025-08-24,211,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,government,False,rfe
case_000644,Brazil,B1/B2,Shenyang,2025-01-25,2025-02-21,27,"['Travel Itinerary', 'Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",8,family,True,approved
case_000823,United Kingdom,B1/B2,Tokyo,2025-01-25,2025-02-14,20,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,university,False,approved
case_003622,Nigeria,B1/B2,Shenyang,2025-01-25,2025-02-22,28,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,self,False,approved
case_000453,Nigeria,H-1B,Manila,2025-01-25,2025-06-14,140,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,self,True,approved
case_000041,Taiwan,L-1,Manila,2025-01-25,2025-05-08,103,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,family,True,approved
case_001204,Canada,H-1B,Shanghai,2025-01-25,2025-06-15,141,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,government,False,approved
case_003348,China,F-1,Shanghai,2025-01-25,2025-03-04,38,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,employer,False,approved
case_003514,South Korea,F-1,Beijing,2025-01-25,2025-04-12,77,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,government,False,rfe
case_003941,Vietnam,H-1B,Beijing,2025-01-25,2025-06-20,146,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,employer,True,approved
case_000933,Germany,B1/B2,Ciudad Juarez,2025-01-25,2025-02-04,10,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,employer,True,approved
case_004193,Germany,H-1B,Mumbai,2025-01-25,2025-08-08,195,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,university,False,rfe
case_004649,China,H-1B,Chennai,2025-01-25,2025-04-03,68,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,university,False,approved
case_002005,Brazil,L-1,Seoul,2025-01-25,2025-03-28,62,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,university,False,approved
case_002870,Mexico,H-1B,Seoul,2025-01-25,2025-05-18,113,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,self,True,approved
case_001720,Vietnam,H-1B,Ciudad Juarez,2025-01-25,2025-05-11,106,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,university,False,approved
case_001382,Pakistan,H-1B,Manila,2025-01-25,2025-05-03,98,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,university,True,approved
case_000022,China,J-1,Seoul,2025-01-26,2025-02-19,24,"['Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",7,university,False,approved
case_000086,Canada,B1/B2,London,2025-01-26,2025-02-23,28,"['Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,self,True,approved
case_003907,United Kingdom,H-1B,Mexico City,2025-01-26,2025-05-06,100,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,self,True,approved
case_004665,Nigeria,J-1,New Delhi,2025-01-26,2025-02-25,30,"['Travel Itinerary', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",7,self,True,approved
case_003133,Germany,H-1B,Guangzhou,2025-01-26,2025-05-23,117,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,government,False,approved
case_000593,Vietnam,H-1B,Guadalajara,2025-01-26,2025-06-07,132,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,True,approved
case_004006,Canada,F-1,Toronto,2025-01-26,2025-02-15,20,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,True,approved
case_003259,Canada,J-1,Shanghai,2025-01-26,2025-03-03,36,"['Travel Itinerary', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",5,family,True,approved
case_002671,United Kingdom,H-1B,Ciudad Juarez,2025-01-26,2025-03-29,62,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,approved
case_003631,Mexico,F-1,Guangzhou,2025-01-26,2025-03-04,37,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_000246,Bangladesh,H-1B,Seoul,2025-01-26,2025-03-23,56,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",9,family,True,approved
case_001873,Japan,H-1B,Shenyang,2025-01-26,2025-05-28,122,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,approved
case_004816,Germany,H-1B,Hyderabad,2025-01-26,2025-07-19,174,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,university,False,rfe
case_004940,Bangladesh,L-1,Guadalajara,2025-01-26,2025-06-02,127,"['Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,self,True,rfe
case_002250,Vietnam,B1/B2,Kolkata,2025-01-26,2025-02-18,23,"['Fee Receipt', 'Passport', 'DS-160', 'Photo']",4,self,True,denied
case_002354,Bangladesh,F-1,Frankfurt,2025-01-26,2025-03-27,60,"['Financial Docs', 'I-20', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,government,False,rfe
case_004522,Canada,H-1B,Chennai,2025-01-26,2025-03-21,54,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,family,False,denied
case_003457,Nigeria,B1/B2,Manila,2025-01-27,2025-03-10,42,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,self,False,approved
case_004160,Vietnam,B1/B2,Ciudad Juarez,2025-01-27,2025-02-16,20,"['Travel Itinerary', 'Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",6,employer,True,approved
case_002428,Canada,B1/B2,Beijing,2025-01-27,2025-03-04,36,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,family,False,approved
case_001438,Pakistan,O-1,Tokyo,2025-01-27,2025-03-20,52,"['I-797', 'Resume', 'Property Docs', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,university,True,denied
case_002441,South Korea,F-1,Manila,2025-01-27,2025-03-15,47,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,government,False,approved
case_000914,Philippines,F-1,Shenyang,2025-01-27,2025-02-25,29,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,False,approved
case_001479,South Korea,H-1B,Mumbai,2025-01-27,2025-04-10,73,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,university,False,denied
case_002561,South Korea,H-1B,Shenyang,2025-01-27,2025-08-22,207,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,False,rfe
case_001844,Brazil,H-1B,Frankfurt,2025-01-27,2025-04-28,91,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,True,approved
case_002390,Mexico,O-1,Frankfurt,2025-01-27,2025-04-04,67,"['I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,False,approved
case_000606,Japan,L-1,New Delhi,2025-01-27,2025-03-26,58,"['Employment Letter', 'I-797', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,government,False,denied
case_004982,Taiwan,F-1,Shenyang,2025-01-27,2025-03-04,36,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,False,approved
case_004430,Pakistan,F-1,London,2025-01-27,2025-02-27,31,"['Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,university,False,approved
case_000370,Mexico,H-1B,Kolkata,2025-01-28,2025-04-18,80,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,government,False,denied
case_001734,Brazil,J-1,Shenyang,2025-01-28,2025-02-14,17,"['Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",5,university,True,approved
case_002874,Philippines,L-1,Kolkata,2025-01-28,2025-05-01,93,"['Employment Letter', 'I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,self,False,approved
case_001188,Taiwan,F-1,Beijing,2025-01-28,2025-03-18,49,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,self,True,approved
case_000996,Bangladesh,L-1,Kolkata,2025-01-28,2025-04-08,70,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,university,False,approved
case_003172,Vietnam,J-1,Mumbai,2025-01-28,2025-02-24,27,"['I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",5,university,True,approved
case_000887,Bangladesh,B1/B2,Guangzhou,2025-01-28,2025-03-24,55,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,self,True,rfe
case_000168,Japan,B1/B2,London,2025-01-28,2025-02-09,12,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo']",5,self,False,approved
case_000439,Brazil,F-1,Seoul,2025-01-28,2025-03-07,38,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,self,True,approved
case_003142,Philippines,L-1,Hyderabad,2025-01-28,2025-04-14,76,"['I-797', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",5,employer,False,approved
case_003801,Philippines,B1/B2,Shenyang,2025-01-28,2025-02-24,27,"['Fee Receipt', 'Passport', 'DS-160', 'Photo']",4,university,False,approved
case_001377,Bangladesh,H-1B,Guangzhou,2025-01-28,2025-04-10,72,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,government,False,approved
case_002832,Brazil,B1/B2,Kolkata,2025-01-29,2025-03-03,33,"['Property Docs', 'Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",7,government,False,approved
case_000319,United Kingdom,H-1B,Toronto,2025-01-29,2025-07-31,183,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",9,family,True,rfe
case_003733,Pakistan,H-1B,Shanghai,2025-01-29,2025-04-28,89,"['Employment Letter', 'I-797', 'Resume', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,employer,True,approved
case_000154,Taiwan,O-1,Kolkata,2025-01-29,2025-03-20,50,"['Travel Itinerary', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,self,True,approved
case_000031,Brazil,B1/B2,London,2025-01-29,2025-02-27,29,"['Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,government,False,approved
case_002819,Taiwan,F-1,Manila,2025-01-29,2025-03-13,43,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,family,True,approved
case_000208,Vietnam,F-1,Hyderabad,2025-01-29,2025-03-06,36,"['Financial Docs', 'I-20', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",6,university,False,approved
case_001980,Canada,B1/B2,Mexico City,2025-01-29,2025-03-03,33,"['Fee Receipt', 'Passport', 'DS-160', 'Photo']",4,university,True,approved
case_001391,Pakistan,H-1B,Hyderabad,2025-01-29,2025-06-18,140,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,university,False,approved
case_004173,Brazil,H-1B,Guadalajara,2025-01-30,2025-04-17,77,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,True,approved
case_001906,Nigeria,F-1,London,2025-01-30,2025-03-10,39,"['Financial Docs', 'I-20', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,family,True,approved
case_004266,India,O-1,Guadalajara,2025-01-30,2025-04-29,89,"['I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",7,family,True,rfe
case_000899,Japan,F-1,Guadalajara,2025-01-30,2025-03-06,35,"['Financial Docs', 'I-20', 'Transcripts', 'Property Docs', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",8,self,False,approved
case_003277,Vietnam,F-1,Mumbai,2025-01-30,2025-03-11,40,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,employer,True,approved
case_003615,Germany,H-1B,Guangzhou,2025-01-30,2025-06-08,129,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,self,False,approved
case_002982,Philippines,B1/B2,Shenyang,2025-01-30,2025-03-22,51,"['Passport', 'Invitation Letter', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",6,self,False,rfe
case_003021,Germany,B1/B2,Kolkata,2025-01-30,2025-02-26,27,"['Passport', 'Invitation Letter', 'DS-160', 'Bank Statement', 'Fee Receipt', 'Photo']",6,employer,True,approved
case_000345,United Kingdom,H-1B,New Delhi,2025-01-30,2025-05-19,109,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",8,family,False,approved
case_003768,Philippines,L-1,Seoul,2025-01-30,2025-04-27,87,"['Travel Itinerary', 'Employment Letter', 'I-797', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",9,self,True,approved
case_003770,Bangladesh,H-1B,Shenyang,2025-01-30,2025-04-03,63,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,university,False,approved
case_004588,Nigeria,F-1,Shanghai,2025-01-30,2025-03-10,39,"['Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo']",8,self,False,approved
case_003136,Mexico,F-1,Manila,2025-01-30,2025-03-17,46,"['Travel Itinerary', 'Financial Docs', 'I-20', 'Transcripts', 'Passport', 'Bank Statement', 'DS-160', 'Fee Receipt', 'Photo', 'Tax Returns']",10,government,False,approved
case_000706,Canada,H-1B,Kolkata,2025-01-30,2025-06-09,130,"['Employment Letter', 'I-797', 'Resume', 'Passport', 'DS-160', 'Fee Receipt', 'Photo']",7,employer,True,approved
